Unique ID,Geo Type Name
169410,CD
213779,CD
168436,CD
168525,CD
547639,CD
742467,CD
212428,UHF42
212432,UHF42
179420,Borough
643311,Borough
643552,CD
213224,CD
602938,CD
825845,CD
602780,UHF42
412465,UHF42
825719,UHF42
219981,Borough
222567,UHF42
175307,UHF42
175296,UHF42
602718,UHF42
549805,UHF42
175411,UHF42
175327,UHF42
549873,UHF42
212578,UHF42
602814,UHF42
212558,UHF42
549810,UHF42
602811,UHF42
175328,UHF42
212579,UHF42
549870,UHF42
176566,UHF42
336536,UHF42
643364,UHF42
179290,Borough
643310,Borough
336527,UHF42
176578,UHF42
167801,CD
336891,CD
412826,CD
741163,CD
518900,UHF42
628434,Borough
131416,UHF42
131427,UHF42
130824,UHF42
333998,UHF42
177343,UHF42
334061,UHF42
669729,UHF42
649905,CD
170287,CD
213936,CD
649911,CD
170311,CD
213960,CD
649983,CD
826366,CD
176639,UHF42
825700,UHF42
176597,UHF42
178536,UHF42
177232,UHF42
333981,UHF42
547396,UHF42
177771,UHF42
547375,UHF42
212814,UHF42
669805,UHF42
178492,UHF42
178408,UHF42
333964,UHF42
823208,CD
823489,CD
168423,CD
740901,UHF42
175344,UHF42
175890,UHF42
549794,UHF42
336502,UHF42
336523,UHF42
177333,UHF42
177900,UHF42
179585,Borough
410728,Borough
823278,UHF42
177319,UHF42
178453,UHF42
412083,CD
131368,UHF42
131408,Borough
827401,UHF42
131231,UHF42
827415,UHF42
131331,UHF42
410966,CD
169339,CD
411135,CD
334256,CD
669881,CD
334187,CD
170248,CD
669884,CD
649970,CD
334259,CD
169338,CD
742465,CD
411041,CD
170189,CD
170307,CD
410787,UHF42
167692,CD
167741,CD
179352,Borough
179357,Borough
176645,UHF42
336489,Borough
410766,UHF42
179786,UHF42
823274,UHF42
179662,Borough
179507,Borough
179572,Borough
333951,Borough
742161,Borough
334005,UHF42
547399,UHF42
669787,UHF42
178504,UHF42
334015,UHF42
649728,UHF42
649695,UHF42
178409,UHF42
178493,UHF42
170371,CD
170396,CD
605950,CD
649948,CD
823174,CD
168424,CD
213784,CD
